Country,Deaths,type,population
Afghanistan,7174,Mortality,36296111
Albania,2553,Mortality,2873457
Algeria,5614,Mortality,41389174
Andorra,130,Mortality,76997
Angola,1358,Mortality,29816769
Anguilla,0,Mortality,29816769
Antigua and Barbuda,48,Mortality,95425
Argentina,113816,Mortality,44044811
Armenia,5056,Mortality,2944789
Aruba,156,Mortality,105361
Australia,1116,Mortality,24601860
Austria,10849,Mortality,8797566
Azerbaijan,6167,Mortality,9854033
Bahamas,463,Mortality,9854033
Bahrain,1388,Mortality,1494077
Bangladesh,27007,Mortality,159685421
Barbados,52,Mortality,286229
Belarus,3941,Mortality,9498264
Belgium,25477,Mortality,11375158
Belize,383,Mortality,375775
Benin,146,Mortality,11175192
Bermuda,36,Mortality,63873
Bhutan,3,Mortality,745563
Bolivia,18603,Mortality,11192853
Bosnia and Herzegovina,10099,Mortality,3351534
Botswana,2337,Mortality,2205076
Brazil,587847,Mortality,207833825
British Virgin Islands,37,Mortality,29567
Brunei,21,Mortality,29567
Bulgaria,19744,Mortality,7075947
Burkina Faso,171,Mortality,19193236
Burundi,38,Mortality,10827010
Cabo Verde,323,Mortality,537499
Cambodia,2067,Mortality,16009413
Cameroon,1357,Mortality,24566070
Canada,27262,Mortality,36545295
Caribbean Netherlands,17,Mortality,36545295
Cayman Islands,2,Mortality,63382
Central African Rep.,100,Mortality,63382
Chad,174,Mortality,15016761
Channel Islands,96,Mortality,168666
Chile,37253,Mortality,18470435
China,4636,Mortality,1386395000
Colombia,125713,Mortality,48909844
Comoros,147,Mortality,813890
Congo,183,Mortality,813890
Costa Rica,5851,Mortality,4949955
Côte d'Ivoire,534,Mortality,10827010
Croatia,8456,Mortality,4124531
Cuba,6449,Mortality,11339255
Curaçao,155,Mortality,11339255
Cyprus,534,Mortality,1179685
Czechia,30417,Mortality,10594438
Dem. Rep. Congo,1068,Mortality,10594438
Denmark,2614,Mortality,5764980
Diamond Princess,13,Mortality,5764980
Djibouti,157,Mortality,944100
Dominica,8,Mortality,71460
Dominican Republic,4020,Mortality,10513111
Ecuador,32491,Mortality,16785356
Egypt,16895,Mortality,16785356
El Salvador,3056,Mortality,6388124
Equatorial Guinea,131,Mortality,1262008
Eritrea,40,Mortality,0
Estonia,1313,Mortality,1317384
Eswatini,1186,Mortality,1124808
Ethiopia,5001,Mortality,106399926
Faeroe Islands,2,Mortality,446186344
Falkland Islands,0,Mortality,446186344
Fiji,539,Mortality,877460
Finland,1039,Mortality,5508214
France,115697,Mortality,66918020
French Guiana,231,Mortality,66918020
French Polynesia,581,Mortality,276108
Gabon,173,Mortality,2064812
Gambia,328,Mortality,2064812
Georgia,8347,Mortality,3728004
Germany,93319,Mortality,82657002
Ghana,1098,Mortality,29121464
Gibraltar,97,Mortality,33723
Greece,14268,Mortality,10754679
Greenland,0,Mortality,56172
Grenada,35,Mortality,110874
Guadeloupe,612,Mortality,110874
Guatemala,12795,Mortality,16087418
Guinea,368,Mortality,12067516
Guinea-Bissau,127,Mortality,1828146
Guyana,692,Mortality,775218
Haiti,596,Mortality,10982367
Honduras,9400,Mortality,9429016
Hong Kong,213,Mortality,9429016
Hungary,30114,Mortality,9787966
Iceland,33,Mortality,343400
India,443528,Mortality,1338676779
Indonesia,139415,Mortality,264650969
Iran,115167,Mortality,264650969
Iraq,21596,Mortality,37552789
Ireland,5155,Mortality,4807388
Isle of Man,38,Mortality,83610
Israel,7438,Mortality,8713300
Italy,130027,Mortality,60536709
Jamaica,1736,Mortality,2920848
