Country,type,Incidence,Population,HDI,Temperature
Afghanistan,Covid,154800,36296111,0.498,13.57
Albania,Covid,165096,2873457,0.785,12.03
Algeria,Covid,201766,41389174,0.754,23.22
American Samoa,Covid,201766,55617,0.754,23.22
Andean Latin America,Covid,201766,55617,0.754,23.22
Andorra,Covid,15153,76997,0.858,9.18
Angola,Covid,52644,29816769,0.581,21.83
Antigua and Barbuda,Covid,2603,95425,0.78,26.61
Argentina,Covid,5243231,44044811,0.825,14.55
Armenia,Covid,255648,2944789,0.755,7.15
Australasia,Covid,15305,105361,0.755,7.15
Australia,Covid,90372,24601860,0.939,21.94
Austria,Covid,725163,8797566,0.908,7.25
Azerbaijan,Covid,476409,9854033,0.757,12.93
Bahamas,Covid,20288,9854033,0.807,25.06
Bahrain,Covid,274524,1494077,0.846,28.23
Bangladesh,Covid,1548320,159685421,0.608,25.53
Barbados,Covid,6736,286229,0.8,26.73
Belarus,Covid,522275,9498264,0.808,7.5
Belgium,Covid,1229236,11375158,0.916,10.68
Belize,Covid,18902,375775,0.708,25.59
Benin,Covid,21450,11175192,0.515,27.93
Bermuda,Covid,4632,63873,0.515,27.93
Bhutan,Covid,2599,745563,0.612,11.98
Bolivia,Covid,2599,11192853,0.693,11.98
Bosnia and Herzegovina,Covid,229360,3351534,0.768,10.24
Botswana,Covid,173788,2205076,0.717,22.22
Brazil,Covid,21247094,207833825,0.759,25.51
Brunei,Covid,2676,29567,0.853,25.51
Bulgaria,Covid,487588,7075947,0.813,11.31
Burkina Faso,Covid,14064,19193236,0.423,28.71
Burundi,Covid,16356,10827010,0.417,20.68
Cambodia,Covid,105981,16009413,0.582,27.51
Cameroon,Covid,85414,24566070,0.556,24.87
Canada,Covid,1585732,36545295,0.926,-6.36
Cape Verde,Covid,1585732,36545295,0.654,-6.36
Caribbean,Covid,1585732,36545295,0.654,-6.36
Central African Rep.,Covid,787,63382,0.654,-6.36
Central Asia,Covid,787,4596023,0.367,25.31
Central Europe,Covid,787,4596023,0.367,25.31
"Central Europe, Eastern Europe, and Central Asia",Covid,787,102740078,0.367,25.31
Central Latin America,Covid,787,102740078,0.367,25.31
Central Sub-Saharan Africa,Covid,787,102740078,0.367,25.31
Chad,Covid,5031,15016761,0.404,27.37
Chile,Covid,1648550,18470435,0.843,8.71
China,Covid,124283,1386395000,0.752,7.1
Colombia,Covid,4943622,48909844,0.747,24.79
Comoros,Covid,4109,813890,0.503,24.52
Congo,Covid,14014,813890,0.606,24.85
Costa Rica,Covid,513384,4949955,0.794,24.85
Cote d'Ivoire,Covid,16356,24437475,0.492,26.76
Croatia,Covid,396470,4124531,0.831,11.66
Cuba,Covid,825351,11339255,0.777,25.83
Cyprus,Covid,119336,1179685,0.869,19.63
Czechia,Covid,1687973,10594438,0.888,8.73
Dem. Rep. Congo,Covid,1687973,10594438,0.888,8.73
Denmark,Covid,355603,5764980,0.929,8.76
Djibouti,Covid,12207,944100,0.476,28.38
Dominica,Covid,3134,71460,0.715,22.48
Dominican Republic,Covid,356042,10513111,0.736,24.19
East Asia,Covid,356042,3206485623,0.736,24.19
Eastern Europe,Covid,356042,2042693823,0.736,24.19
Eastern Sub-Saharan Africa,Covid,356042,2042693823,0.736,24.19
Ecuador,Covid,507020,16785356,0.752,21.65
Egypt,Covid,298988,16785356,0.696,23
El Salvador,Covid,102024,6388124,0.674,25.24
England,Covid,102024,6388124,0.674,25.24
Equatorial Guinea,Covid,11063,1262008,0.591,24.54
Eritrea,Covid,6674,0,0.44,26.92
Estonia,Covid,151881,1317384,0.871,6.31
Eswatini,Covid,45395,1124808,0.588,20.79
Ethiopia,Covid,333698,106399926,0.463,23.04
Fiji,Covid,50270,877460,0.741,24.3
Finland,Covid,138068,5508214,0.92,2.52
France,Covid,6760265,66918020,0.901,11.69
Gabon,Covid,28120,2064812,0.702,25.36
Gambia,Covid,9888,2064812,0.46,27.97
Georgia,Covid,602065,3728004,0.78,7.67
Germany,Covid,4171666,82657002,0.936,9.63
Ghana,Covid,125565,29121464,0.592,27.68
Greece,Covid,638921,10754679,0.87,14.24
Greenland,Covid,528,56172,0.87,-17.18
Grenada,Covid,4356,110874,0.772,27.24
Guam,Covid,52463,164281,0.772,27.24
Guatemala,Covid,533744,16087418,0.65,23.67
Guinea,Covid,30271,12067516,0.459,26.14
Guinea-Bissau,Covid,6080,1828146,0.455,27.43
Guyana,Covid,29824,775218,0.654,26.12
Haiti,Covid,21453,10982367,0.498,25.13
High SDI,Covid,21453,1200273639,0.498,25.13
High-income,Covid,21453,1200273639,0.498,25.13
High-income Asia Pacific,Covid,21453,1200273639,0.498,25.13
High-middle SDI,Covid,21453,1200273639,0.498,25.13
Honduras,Covid,360598,9429016,0.617,23.99
Hungary,Covid,819547,9787966,0.838,11.15
Iceland,Covid,11594,343400,0.935,2.31
India,Covid,33563421,1338676779,0.64,24.68
Indonesia,Covid,4201559,264650969,0.694,26.14
Iran,Covid,4201559,83650969,0.798,26.14
Iraq,Covid,1984399,37552789,0.685,22.58
Ireland,Covid,379366,4807388,0.938,9.67
Israel,Covid,1249328,8713300,0.903,20.51
Italy,Covid,4645853,60536709,0.88,12.81
Jamaica,Covid,80959,2920848,0.732,24.97
Japan,Covid,1683965,126785797,0.909,11.13
Jordan,Covid,816574,9785840,0.735,19.42
Kazakhstan,Covid,944733,18037776,0.8,6.91
Kenya,Covid,246643,50221146,0.59,25.09
Kiribati,Covid,246643,114153,0.612,27.49
Kuwait,Covid,411316,4056102,0.803,26.18
Kyrgyzstan,Covid,178036,6198200,0.672,2.22
Laos,Covid,19952,6953031,0.601,23.74
Latin America and Caribbean,Covid,19952,618653508,0.601,23.74
Latvia,Covid,152693,1942248,0.847,6.86
Lebanon,Covid,619950,6819373,0.757,16
Lesotho,Covid,14395,2091532,0.52,12.65
Liberia,Covid,5915,4702224,0.435,25.69
Libya,Covid,334049,6580723,0.706,22.64
Lithuania,Covid,321243,2828403,0.858,7.43
Low SDI,Covid,321243,614965124,0.858,7.43
Low-middle SDI,Covid,321243,3194517542,0.858,7.43
Luxembourg,Covid,77552,596336,0.904,10.02
Madagascar,Covid,43570,25570511,0.519,22.65
Malawi,Covid,61382,17670193,0.477,22.51
Malaysia,Covid,2142924,31104655,0.802,25.75
Maldives,Covid,84017,496398,0.717,27.8
Mali,Covid,15075,18512429,0.427,28.83
Malta,Covid,37036,467999,0.878,19.61
Marshall Islands,Covid,4,58053,0.708,27.93
Mauritania,Covid,35515,4282582,0.52,28.34
Mauritius,Covid,14863,1264613,0.79,23.69
Mexico,Covid,3585565,124777326,0.774,21.31
Micronesia (country),Covid,3585565,124777326,0.627,21.31
Middle SDI,Covid,3585565,5664768985,0.627,26.65
Moldova,Covid,0,2755158,0.7,26.65
Mongolia,Covid,287512,3113788,0.741,0.67
Montenegro,Covid,127883,622373,0.814,9.19
Morocco,Covid,923924,35581257,0.667,18.04
Mozambique,Covid,150067,28649007,0.437,24.33
Myanmar,Covid,453407,53382521,0.578,23.36
Namibia,Covid,126900,2402623,0.647,20.56
Nepal,Covid,788769,27632682,0.574,13.21
Netherlands,Covid,1989805,17131296,0.931,10.4
New Zealand,Covid,3779,4813600,0.917,10.11
Nicaragua,Covid,10757,6384843,0.658,25.29
Niger,Covid,5964,21602388,0.354,27.83
Nigeria,Covid,202191,190873247,0.532,27.24
,,,,,
North America,Covid,202191,361731296,0.532,27.24
North Korea,Covid,202191,361731296,0.532,27.24
North Macedonia,Covid,188113,2081996,0.757,10.64
Northern Ireland,Covid,0,2081996,0.757,10.64
Northern Mariana Islands,Covid,0,56553,0.757,27.64
Norway,Covid,184609,5276968,0.953,1.78
Oceania,Covid,184609,0,0.953,1.78
Oman,Covid,303512,4665926,0.821,26.04
Pakistan,Covid,1230238,207906210,0.562,20.75
Palestine,Covid,5,17809,0.686,28.04
Panama,Covid,464781,4106764,0.789,25.4
