Country,Code,Deaths,type,Population
Afghanistan,AFG,1221,Mortality,36296111
Albania,ALB,0,Mortality,2873457
Algeria,DZA,6,Mortality,41389174
American Samoa,ASM,0,Mortality,55617
Andean Latin America,,18,Mortality,55617
Andorra,AND,0,Mortality,76997
Angola,AGO,8431,Mortality,29816769
Antigua and Barbuda,ATG,0,Mortality,95425
Argentina,ARG,0,Mortality,44044811
Armenia,ARM,0,Mortality,2944789
Australasia,,0,Mortality,105361
Australia,AUS,0,Mortality,24601860
Austria,AUT,0,Mortality,8797566
Azerbaijan,AZE,0,Mortality,9854033
Bahamas,BHS,0,Mortality,9854033
Bahrain,BHR,0,Mortality,1494077
Bangladesh,BGD,3274,Mortality,159685421
Barbados,BRB,0,Mortality,286229
Belarus,BLR,0,Mortality,9498264
Belgium,BEL,0,Mortality,11375158
Belize,BLZ,0,Mortality,375775
Benin,BEN,9433,Mortality,11175192
Bermuda,BMU,0,Mortality,63873
Bhutan,BTN,18,Mortality,745563
Bolivia,BOL,5,Mortality,11192853
Bosnia and Herzegovina,BIH,0,Mortality,3351534
Botswana,BWA,6,Mortality,2205076
Brazil,BRA,58,Mortality,207833825
Brunei,BRN,0,Mortality,29567
Bulgaria,BGR,0,Mortality,7075947
Burkina Faso,BFA,30575,Mortality,19193236
Burundi,BDI,8659,Mortality,10827010
Cambodia,KHM,1228,Mortality,16009413
Cameroon,CMR,22041,Mortality,24566070
Canada,CAN,0,Mortality,36545295
Cape Verde,CPV,2,Mortality,36545295
Caribbean,,28,Mortality,36545295
Central African Rep.,CAF,3849,Mortality,63382
Central Asia,,0,Mortality,4596023
Central Europe,,0,Mortality,4596023
"Central Europe, Eastern Europe, and Central Asia",,0,Mortality,102740078
Central Latin America,,107,Mortality,102740078
Central Sub-Saharan Africa,,97358,Mortality,102740078
Chad,TCD,7679,Mortality,15016761
Chile,CHL,0,Mortality,18470435
China,CHN,105,Mortality,1386395000
Colombia,COL,37,Mortality,48909844
Comoros,COM,1,Mortality,813890
Congo,COG,2244,Mortality,813890
Costa Rica,CRI,0,Mortality,4949955
